title,location,price,sqft,price_per_sqft
3 BHK Apartment for Sale in Mugalivakkam Chennai,Mugalivakkam Chennai,9400000,1275,7372
2 BHK Apartment for Sale in Oragadam Chennai,Oragadam Chennai,3300000,792,4166
2 BHK Apartment for Sale in Ring Road Housing Sector Chennai,Ring Road Housing Sector Chennai,8000000,930,8602
3 BHK Villa for Sale in Nellikuppam Road Chennai,Nellikuppam Road Chennai,7800000,1800,4333
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,5500000,591,9306
2 BHK Apartment for Sale in Chromepet Chennai,Chromepet Chennai,4000000,928,4310
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,3800000,1012,3754
3 BHK Apartment for Sale in Balaji Nagar Royapettah Chennai,Balaji Nagar Royapettah Chennai,39800000,1810,21988
3 BHK Apartment for Sale in Chembarambakkam Chennai,Chembarambakkam Chennai,9000000,1427,6306
2 BHK Apartment for Sale in Chitlapakkam Chennai,Chitlapakkam Chennai,4000000,750,5333
3 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,9900000,1250,7920
2 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,11000000,1073,10251
2 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,17500000,1350,12962
2 BHK Apartment for Sale in Sambandham Nagar Chennai,Sambandham Nagar Chennai,4500000,980,4591
3 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,7020000,1510,4649
3 BHK Villa for Sale in Annai Theresa Nagar Madipakkam Chennai,Annai Theresa Nagar Madipakkam Chennai,12500000,800,15625
3 BHK Villa for Sale in Mambakkam Chennai,Mambakkam Chennai,16500000,2446,6745
2 BHK Apartment for Sale in Kovilambakkam Chennai,Kovilambakkam Chennai,6300000,710,8873
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,4800000,830,5783
3 BHK Apartment for Sale in LIC Colony Velachery Chennai,LIC Colony Velachery Chennai,14000000,1000,14000
2 BHK Builder Floor for Sale in Velachery Chennai,Velachery Chennai,8200000,817,10036
2 BHK Builder Floor for Sale in Virugambakkam Chennai,Virugambakkam Chennai,5500000,795,6918
2 BHK Builder Floor for Sale in Pozhichalur Chennai,Pozhichalur Chennai,6100000,740,8243
3 BHK Builder Floor for Sale in Sholinganallur Chennai,Sholinganallur Chennai,10000000,1418,7052
3 BHK Apartment for Sale in Kilpauk Chennai,Kilpauk Chennai,16399999,1010,16237
2 BHK Apartment for Sale in Porur Chennai,Porur Chennai,7500000,603,12437
3 BHK Apartment for Sale in Kovur Chennai,Kovur Chennai,12000000,1348,8902
2 BHK Apartment for Sale in Srinivasa Nagar Peerkankaranai Chennai,Srinivasa Nagar Peerkankaranai Chennai,5000000,1177,4248
3 BHK Apartment for Sale in Sithalapakkam Chennai,Sithalapakkam Chennai,8000000,1090,7339
2 BHK Apartment for Sale in Anna Nagar West Chennai,Anna Nagar West Chennai,18500000,1355,13653
2 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,15000000,900,16666
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,10500000,1300,8076
3 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,17500000,1200,14583
3 BHK Villa for Sale in Rajiv Nagar Perungudi Chennai,Rajiv Nagar Perungudi Chennai,17500000,1900,9210
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5000000,937,5336
2 BHK Apartment for Sale in Avadi Chennai,Avadi Chennai,7000000,862,8120
3 BHK Apartment for Sale in Kallikuppam Chennai,Kallikuppam Chennai,11900000,1385,8592
2 BHK Apartment for Sale in Jawahar Nagar Perambur Chennai,Jawahar Nagar Perambur Chennai,9500000,950,10000
3 BHK Villa for Sale in Thiruverkadu Chennai,Thiruverkadu Chennai,15500000,1800,8611
2 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,11500000,1205,9543
2 BHK Apartment for Sale in KK Nagar Chennai,KK Nagar Chennai,6400000,700,9142
2 BHK  House for Sale in Avadi Chennai,Avadi Chennai,15000000,1043,14381
2 BHK Apartment for Sale in Rajakilpakkam Chennai,Rajakilpakkam Chennai,5700000,806,7071
